image,description,category,collection,sugested_price(€)
https://www.tradeinn.com/h/13975/139752836/nsp-elements-hdt-fish-64-surfboard.jpg,nsp elements hdt fish 6´4´´ surfboard,equipment,surfboard,476.99
https://www.tradeinn.com/h/13805/138050453/nsp-foil-flatter-design-52-surfboard.jpg,nsp foil flatter design 5´2´´ surfboard,equipment,surfboard,793.49
https://www.tradeinn.com/h/13761/137613989/nsp-foil-56-surfboard.jpg,nsp foil 5´6´´ surfboard,equipment,surfboard,576.49
https://www.tradeinn.com/h/13795/137952732/nsp-protech-double-up-74-surfboard.jpg,nsp protech double up 7´4´´ surfboard,equipment,surfboard,532.49
https://www.tradeinn.com/h/13795/137952734/nsp-protech-double-up-84-surfboard.jpg,nsp protech double up 8´4´´ surfboard,equipment,surfboard,585.99
https://www.tradeinn.com/h/13795/137952636/nsp-cocoflax-hooligan-84-surfboard.jpg,nsp cocoflax hooligan 8´4´´ surfboard,equipment,surfboard,863.49
https://www.tradeinn.com/h/13795/137952743/nsp-protech-fun-68-surfboard.jpg,nsp protech fun 6´8´´ surfboard,equipment,surfboard,463.49
https://www.tradeinn.com/h/13795/137952643/nsp-cse-chopstix-56-surfboard.jpg,nsp cse chopstix 5´6´´ surfboard,equipment,surfboard,565.99
https://www.tradeinn.com/h/13795/137952644/nsp-cse-chopstix-58-surfboard.jpg,nsp cse chopstix 5´8´´ surfboard,equipment,surfboard,537.99
https://www.tradeinn.com/h/13795/137952676/nsp-elements-fish-60-surfboard.jpg,nsp elements fish 6´0´´ surfboard,equipment,surfboard,467.49
https://www.tradeinn.com/h/13795/137952680/nsp-elements-fish-64-surfboard.jpg,nsp elements fish 6´4´´ surfboard,equipment,surfboard,502.99
https://www.tradeinn.com/h/13795/137952740/nsp-protech-fish-64-surfboard.jpg,nsp protech fish 6´4´´ surfboard,equipment,surfboard,439.99
https://www.tradeinn.com/h/13795/137952742/nsp-protech-fish-68-surfboard.jpg,nsp protech fish 6´8´´ surfboard,equipment,surfboard,469.0
https://www.tradeinn.com/h/13795/137952746/nsp-protech-fun-72-surfboard.jpg,nsp protech fun 7´2´´ surfboard,equipment,surfboard,468.49
https://www.tradeinn.com/h/13795/137952752/nsp-protech-long-86-surfboard.jpg,nsp protech long 8´6´´ surfboard,equipment,surfboard,505.49
https://www.tradeinn.com/h/13795/137952758/nsp-protech-tinder-d8-60-surfboard.jpg,nsp protech tinder-d8 6´0´´ surfboard,equipment,surfboard,430.99
https://www.tradeinn.com/h/13795/137952760/nsp-protech-tinder-d8-62-surfboard.jpg,nsp protech tinder-d8 6´2´´ surfboard,equipment,surfboard,435.99
https://www.tradeinn.com/h/13805/138050433/nsp-sundownder-soft-66-surfboard.jpg,nsp sundownder soft 6´6´´ surfboard,equipment,surfboard,357.49
https://www.tradeinn.com/h/13805/138050434/nsp-sundownder-soft-70-surfboard.jpg,nsp sundownder soft 7´0´´ surfboard,equipment,surfboard,386.99
https://www.tradeinn.com/h/13761/137613998/nsp-protech-fish-56-surfboard.jpg,nsp protech fish 5´6´´ surfboard,equipment,surfboard,417.99
https://www.tradeinn.com/h/13761/137614070/nsp-soft-long-82-surfboard.jpg,nsp soft long 8´2´´ surfboard,equipment,surfboard,632.99
https://www.tradeinn.com/h/13795/137952665/nsp-e--fun-68-surfboard.jpg,nsp e+ fun 6´8´´ surfboard,equipment,surfboard,559.49
https://www.tradeinn.com/h/13795/137952666/nsp-e--fun-72-surfboard.jpg,nsp e+ fun 7´2´´ surfboard,equipment,surfboard,598.99
https://www.tradeinn.com/h/13795/137952667/nsp-e--fun-76-surfboard.jpg,nsp e+ fun 7´6´´ surfboard,equipment,surfboard,603.99
https://www.tradeinn.com/h/13795/137952669/nsp-e--long-86-surfboard.jpg,nsp e+ long 8´6´´ surfboard,equipment,surfboard,631.99
https://www.tradeinn.com/h/13795/137952670/nsp-e--long-90-surfboard.jpg,nsp e+ long 9´0´´ surfboard,equipment,surfboard,719.99
https://www.tradeinn.com/h/13795/137952678/nsp-elements-fish-60-surfboard.jpg,nsp elements fish 6´0´´ surfboard,equipment,surfboard,458.49
https://www.tradeinn.com/h/13795/137952689/nsp-elements-fun-68-surfboard.jpg,nsp elements fun 6´8´´ surfboard,equipment,surfboard,473.99
https://www.tradeinn.com/h/13795/137952692/nsp-elements-fun-72-surfboard.jpg,nsp elements fun 7´2´´ surfboard,equipment,surfboard,480.99
https://www.tradeinn.com/h/13795/137952696/nsp-elements-fun-76-surfboard.jpg,nsp elements fun 7´6´´ surfboard,equipment,surfboard,508.99
https://www.tradeinn.com/h/13795/137952704/nsp-elements-long-90-surfboard.jpg,nsp elements long 9´0 surfboard,equipment,surfboard,661.99
https://www.tradeinn.com/h/13795/137952718/nsp-elements-tinder-d8-510-surfboard.jpg,nsp elements tinder-d8 5´10´´ surfboard,equipment,surfboard,488.49
https://www.tradeinn.com/h/13795/137952751/nsp-protech-long-86-surfboard.jpg,nsp protech long 8´6´´ surfboard,equipment,surfboard,564.99
https://www.tradeinn.com/h/13805/138050456/nsp-foil-pro-48-surfboard.jpg,nsp foil pro 4´8´´ surfboard,equipment,surfboard,582.49
https://www.tradeinn.com/h/13795/137952641/nsp-cse-chopstix-510-surfboard.jpg,nsp cse chopstix 5´10´´ surfboard,equipment,surfboard,565.99
https://www.tradeinn.com/h/13795/137952642/nsp-cse-chopstix-54-surfboard.jpg,nsp cse chopstix 5´4´´ surfboard,equipment,surfboard,565.99
https://www.tradeinn.com/h/13795/137952645/nsp-cse-chopstix-60-surfboard.jpg,nsp cse chopstix 6´0´´ surfboard,equipment,surfboard,556.99
https://www.tradeinn.com/h/13795/137952649/nsp-cse-equalizer-74-surfboard.jpg,nsp cse equalizer 7´4´´ surfboard,equipment,surfboard,1111.49
https://www.tradeinn.com/h/13795/137952658/nsp-cse-tinder-d8-58-surfboard.jpg,nsp cse tinder-d8 5´8´´ surfboard,equipment,surfboard,565.99
https://www.tradeinn.com/h/13795/137952661/nsp-cse-tinder-d8-62-surfboard.jpg,nsp cse tinder-d8 6´2´´ surfboard,equipment,surfboard,596.49
https://www.tradeinn.com/h/13795/137952675/nsp-elements-fish-56-surfboard.jpg,nsp elements fish 5´6´´ surfboard,equipment,surfboard,514.49
https://www.tradeinn.com/h/13795/137952679/nsp-elements-fish-60-surfboard.jpg,nsp elements fish 6´0´´ surfboard,equipment,surfboard,493.99
https://www.tradeinn.com/h/13795/137952682/nsp-elements-fish-64-surfboard.jpg,nsp elements fish 6´4´´ surfboard,equipment,surfboard,502.99
https://www.tradeinn.com/h/13795/137952683/nsp-elements-fish-68-surfboard.jpg,nsp elements fish 6´8´´ surfboard,equipment,surfboard,507.99
https://www.tradeinn.com/h/13795/137952703/nsp-elements-long-86-surfboard.jpg,nsp elements long 8´6´´ surfboard,equipment,surfboard,576.99
https://www.tradeinn.com/h/13795/137952705/nsp-elements-long-90-surfboard.jpg,nsp elements long 9´0´´ surfboard,equipment,surfboard,614.99
https://www.tradeinn.com/h/13795/137952745/nsp-protech-fun-72-surfboard.jpg,nsp protech fun 7´2´´ surfboard,equipment,surfboard,472.99
https://www.tradeinn.com/h/13795/137952753/nsp-protech-long-90-surfboard.jpg,nsp protech long 9´0´´ surfboard,equipment,surfboard,545.49
https://www.tradeinn.com/h/13761/137614058/nsp-coco-dream-rider-76-surfboard.jpg,nsp coco dream rider 7´6´´ surfboard,equipment,surfboard,738.99
https://www.tradeinn.com/h/13795/137952717/nsp-elements-tinder-d8-510-surfboard.jpg,nsp elements tinder-d8 5´10´´ surfboard,equipment,surfboard,459.49
https://www.tradeinn.com/h/13795/137952720/nsp-elements-tinder-d8-60-surfboard.jpg,nsp elements tinder-d8 6´0´´ surfboard,equipment,surfboard,459.49
https://www.tradeinn.com/h/13795/137952726/nsp-elements-tinder-d8-64-surfboard.jpg,nsp elements tinder-d8 6´4´´ surfboard,equipment,surfboard,468.49
https://www.tradeinn.com/h/13795/137952749/nsp-protech-long-80-surfboard.jpg,nsp protech long 8´0´´ surfboard,equipment,surfboard,523.49
https://www.tradeinn.com/h/13975/139752837/nsp-elements-hdt-fish-68-surfboard.jpg,nsp elements hdt fish 6´8´´ surfboard,equipment,surfboard,481.99
https://www.tradeinn.com/h/13975/139752838/nsp-elements-hdt-fish-72-surfboard.jpg,nsp elements hdt fish 7´2´´ surfboard,equipment,surfboard,549.99
https://www.tradeinn.com/h/13975/139752850/nsp-elements-hdt-long-90-surfboard.jpg,nsp elements hdt long 9´0´´ surfboard,equipment,surfboard,646.49
https://www.tradeinn.com/h/13975/139752865/nsp-protech-fun-76-surfboard.jpg,nsp protech fun 7´6´´ surfboard,equipment,surfboard,529.99
https://www.tradeinn.com/h/13975/139752868/nsp-protech-long-90-surfboard.jpg,nsp protech long 9´0´´ surfboard,equipment,surfboard,605.49
https://www.tradeinn.com/h/13975/139752878/nsp-shapers-union-pit-cruiser-510-pu-surfboard.jpg,nsp shapers union pit cruiser 5´10´´ pu surfboard,equipment,surfboard,717.49
